      1 - stats, VEH, VPA, 10.783942655065, veh.0, rx,(101.03,101.65,0), 3, 
      1 - stats, VEH, VPA, 15.288707685695, veh.0, rx,(127.796,101.65,0), 4, 
      1 - stats, VEH, VEH, 26.050087384357, vehBack.0, rx,(314.752,98.35,0), 4, 
      1 - stats, VEH, VPA, 30.579935013131, veh.1, rx,(98.9533,101.65,0), 7, 
      1 - stats, VEH, VEH, 30.71899039409, vehBack.0, rx,(314.752,98.35,0), 4, 
      1 - stats, VEH, VEH, 35.802490961138, veh.0, rx,(305.26,101.65,0), 4, 
      1 - stats, VEH, VEH, 35.802490961138, vehBack.1, rx,(340.664,98.35,0), 4, 
      1 - stats, VEH, VPA, 35.82116882816, veh.1, rx,(162.502,101.65,0), 8, 
      1 - stats, VEH, VEH, 36.1313497252, vehBack.0, rx,(314.752,98.35,0), 4, 
      1 - stats, VEH, VEH, 36.1313497252, vehBack.1, rx,(338.74,98.35,0), 4, 
      1 - stats, VEH, VEH, 41.19657949166, veh.0, rx,(305.249,101.65,0), 4, 
      1 - stats, VEH, VEH, 41.19657949166, vehBack.0, rx,(314.752,98.35,0), 4, 
      1 - stats, VEH, VEH, 41.545305968982, vehBack.0, rx,(314.752,98.35,0), 4, 
      1 - stats, VEH, VEH, 41.545305968982, veh.1, rx,(212.046,101.65,0), 8, 
      1 - stats, VEH, VEH, 41.545305968982, vehBack.1, rx,(322.18,98.35,0), 4, 
      1 - stats, VEH, VEH, 41.557200487662, veh.0, rx,(305.249,101.65,0), 4, 
      1 - stats, VEH, VEH, 41.557200487662, vehBack.1, rx,(322.175,98.35,0), 4, 
      1 - stats, VEH, VEH, 41.652679842839, veh.0, rx,(305.249,101.65,0), 8, 
      1 - stats, VEH, VEH, 46.717115096096, veh.0, rx,(305.249,101.65,0), 8, 
      1 - stats, VEH, VEH, 46.717115096096, veh.1, rx,(283.678,101.65,0), 8, 
      1 - stats, VEH, VEH, 46.717115096096, vehBack.1, rx,(322.253,98.35,0), 4, 
      1 - stats, VEH, VEH, 46.782444403102, vehBack.0, rx,(314.752,98.35,0), 8, 
      1 - stats, VEH, VEH, 46.782444403102, veh.1, rx,(284.748,101.65,0), 8, 
      1 - stats, VEH, VEH, 46.782444403102, vehBack.1, rx,(322.253,98.35,0), 8, 
      1 - stats, VEH, VEH, 47.071033048111, veh.0, rx,(305.249,101.65,0), 8, 
      1 - stats, VEH, VEH, 47.071033048111, vehBack.0, rx,(314.752,98.35,0), 8, 
      1 - stats, VEH, VEH, 47.071033048111, veh.1, rx,(284.967,101.65,0), 8, 
      1 - stats, VEH, VPA, 50.05940480683, veh.2, rx,(95.3754,101.65,0), 11, 
      1 - stats, VEH, VEH, 52.051284065333, veh.0, rx,(305.249,101.65,0), 8, 
      1 - stats, VEH, VEH, 52.051284065333, vehBack.0, rx,(314.752,98.35,0), 8, 
      1 - stats, VEH, VEH, 52.051284065333, veh.1, rx,(297.716,101.65,0), 8, 
      1 - stats, VEH, VEH, 52.051284065333, vehBack.2, rx,(411.558,98.35,0), 8, 
      1  52.051284065333 
      1 - stats, VEH, VPA, 55.391116526612, veh.2, rx,(154.251,101.65,0), 12, 
      1 - stats, VEH, VEH, 57.014073048348, veh.0, rx,(305.249,101.65,0), 8, 
      1 - stats, VEH, VEH, 57.014073048348, vehBack.0, rx,(314.752,98.35,0), 8, 
      1 - stats, VEH, VEH, 57.014073048348, veh.1, rx,(297.744,101.65,0), 8, 
      1 - stats, VEH, VEH, 57.014073048348, vehBack.2, rx,(348.257,98.35,0), 8, 
      1 - stats, VEH, VEH, 60.503377607761, veh.1, rx,(297.744,101.65,0), 12, 
      1 - stats, VEH, VEH, 62.071046015667, veh.0, rx,(305.249,101.65,0), 8, 
      1 - stats, VEH, VEH, 62.071046015667, vehBack.0, rx,(314.752,98.35,0), 8, 
      1 - stats, VEH, VEH, 62.071046015667, veh.1, rx,(297.744,101.65,0), 12, 
      1 - stats, VEH, VEH, 62.071046015667, vehBack.1, rx,(322.253,98.35,0), 8, 
      1 - stats, VEH, VEH, 62.093625751382, veh.0, rx,(305.249,101.65,0), 8, 
      1 - stats, VEH, VEH, 62.093625751382, vehBack.0, rx,(314.752,98.35,0), 8, 
      1 - stats, VEH, VEH, 62.093625751382, veh.1, rx,(297.744,101.65,0), 12, 
      1 - stats, VEH, VEH, 62.093625751382, vehBack.2, rx,(330.036,98.35,0), 8, 
      1 - stats, VEH, VEH, 62.506844184147, vehBack.0, rx,(314.752,98.35,0), 8, 
      1 - stats, VEH, VEH, 62.506844184147, veh.1, rx,(297.744,101.65,0), 12, 
      1 - stats, VEH, VEH, 62.506844184147, vehBack.1, rx,(322.253,98.35,0), 8, 
      1 - stats, VEH, VEH, 62.506844184147, veh.2, rx,(222.835,101.65,0), 12, 
      1 - stats, VEH, VEH, 62.506844184147, vehBack.2, rx,(329.833,98.35,0), 8, 
      1 - stats, VEH, VEH, 62.783585933614, veh.0, rx,(305.249,101.65,0), 8, 
      1 - stats, VEH, VEH, 62.783585933614, veh.1, rx,(297.744,101.65,0), 12, 
      1 - stats, VEH, VEH, 62.783585933614, vehBack.1, rx,(322.253,98.35,0), 8, 
      1 - stats, VEH, VEH, 62.783585933614, veh.2, rx,(225.297,101.65,0), 12, 
      1 - stats, VEH, VEH, 62.783585933614, vehBack.2, rx,(329.697,98.35,0), 8, 
      1 - stats, VEH, VEH, 68.054007888518, veh.0, rx,(305.249,101.65,0), 8, 
      1 - stats, VEH, VEH, 68.054007888518, veh.1, rx,(297.744,101.65,0), 12, 
      1 - stats, VEH, VEH, 68.054007888518, vehBack.1, rx,(322.253,98.35,0), 8, 
      1 - stats, VEH, VEH, 68.054007888518, veh.2, rx,(287.194,101.65,0), 12, 
      1 - stats, VEH, VEH, 68.054007888518, vehBack.2, rx,(329.755,98.35,0), 8, 
      1 - stats, VEH, VEH, 68.072023559219, veh.0, rx,(305.249,101.65,0), 8, 
      1 - stats, VEH, VEH, 68.072023559219, vehBack.0, rx,(314.752,98.35,0), 8, 
      1 - stats, VEH, VEH, 68.072023559219, veh.1, rx,(297.744,101.65,0), 12, 
      1 - stats, VEH, VEH, 68.072023559219, veh.2, rx,(287.284,101.65,0), 12, 
      1 - stats, VEH, VEH, 68.072023559219, vehBack.2, rx,(329.755,98.35,0), 8, 
      1 - stats, VEH, VEH, 68.245485827482, vehBack.0, rx,(314.752,98.35,0), 8, 
      1 - stats, VEH, VEH, 68.245485827482, veh.1, rx,(297.744,101.65,0), 12, 
      1 - stats, VEH, VEH, 68.245485827482, vehBack.1, rx,(322.253,98.35,0), 8, 
      1 - stats, VEH, VEH, 68.245485827482, veh.2, rx,(288.145,101.65,0), 12, 
      1 - stats, VEH, VEH, 68.245485827482, vehBack.2, rx,(329.755,98.35,0), 8, 
      1 - stats, VEH, VEH, 68.30747672022, veh.0, rx,(305.249,101.65,0), 12, 
      1 - stats, VEH, VEH, 68.30747672022, vehBack.0, rx,(314.752,98.35,0), 12, 
      1 - stats, VEH, VEH, 68.30747672022, vehBack.1, rx,(322.253,98.35,0), 12, 
      1 - stats, VEH, VEH, 68.30747672022, veh.2, rx,(288.452,101.65,0), 12, 
      1 - stats, VEH, VEH, 68.30747672022, vehBack.2, rx,(329.755,98.35,0), 12, 
      1 - stats, VEH, VEH, 68.43629683729, veh.0, rx,(305.249,101.65,0), 12, 
      1 - stats, VEH, VEH, 68.43629683729, vehBack.0, rx,(314.752,98.35,0), 12, 
      1 - stats, VEH, VEH, 68.43629683729, veh.1, rx,(297.744,101.65,0), 12, 
