ID: 82660198 Coord: [23039.57, 37166.05]
ID: 82659817 Coord: [22710.91, 37083.0]
ID: 82660019 Coord: [23237.57, 37218.99]
ID: 78530401 Coord: [23444.3, 37284.3]
ID: 82660017 Coord: [23268.77, 37148.01]
ID: 842316914 Coord: [23335.08, 36667.63]
ID: 297162704 Coord: [20100.55, 37070.59]
ID: 82661154 Coord: [20066.96, 37128.67]
ID: 82663007 Coord: [20350.18, 37046.13]
ID: 82661496 Coord: [20458.84, 37062.39]
ID: 85661193 Coord: [20264.55, 37030.58]
ID: 82661635 Coord: [20412.93, 37216.26]
ID: 82661637 Coord: [20382.63, 37296.84]
ID: 82662799 Coord: [20037.5, 37318.14]
ID: 82664418 Coord: [19918.99, 37260.22]
ID: 82667141 Coord: [20072.84, 37370.38]
ID: 82663002 Coord: [20310.74, 37172.25]
ID: 82663198 Coord: [20230.26, 37131.24]
ID: 82661152 Coord: [20183.63, 37212.93]
ID: 266218206 Coord: [20487.32, 36975.82]
ID: 25731315 Coord: [29209.83, 20756.52]
ID: 25731307 Coord: [29338.41, 20731.67]
ID: 25731310 Coord: [29088.74, 20790.98]
ID: 25731316 Coord: [28997.83, 20823.74]
ID: 82664858 Coord: [29172.49, 20637.35]
ID: 25731304 Coord: [29208.35, 20544.85]
ID: 288567789 Coord: [29169.2, 20647.36]
ID: 25729122 Coord: [28187.93, 19996.7]
ID: 25729125 Coord: [28179.46, 19847.82]
ID: 82664860 Coord: [29267.52, 20645.68]
ID: 76464378 Coord: [20240.98, 36494.16]
ID: 82664948 Coord: [20326.43, 36515.99]
ID: 82665176 Coord: [20127.97, 36780.1]
ID: 82666917 Coord: [19851.02, 36824.85]
ID: 82666593 Coord: [19846.89, 36827.95]
ID: 82666599 Coord: [19922.82, 36694.15]
ID: 826481886 Coord: [19849.57, 36275.03]
ID: 82666613 Coord: [19848.74, 36273.15]
ID: 266218152 Coord: [20122.44, 37296.96]
ID: 430830239 Coord: [19612.98, 36858.52]
ID: 82668631 Coord: [19452.75, 36900.72]
ID: 430830918 Coord: [19699.2, 36769.99]
ID: 82668569 Coord: [19726.15, 36735.24]
ID: 330953387 Coord: [18840.77, 36987.73]
ID: 61797271 Coord: [18957.31, 37002.25]
ID: 82669078 Coord: [18492.03, 36981.47]
ID: 310647931 Coord: [15595.22, 20476.17]
ID: 32995812 Coord: [15581.22, 20479.19]
ID: 585628 Coord: [15671.86, 20509.89]
ID: 585611 Coord: [16309.8, 20475.43]
ID: 664572795 Coord: [16248.05, 20491.85]
